address,nearest_mrt,nearest_distance_to_mrt
16 TELOK BLANGAH CRES,tiong bahru,1.112
13 TELOK BLANGAH CRES,tiong bahru,1.175
21 TELOK BLANGAH CRES,harbourfront,1.249
44 TELOK BLANGAH DR,telok blangah,0.106
28 TELOK BLANGAH RISE,harbourfront,0.954
32 TELOK BLANGAH RISE,harbourfront,0.861
35 TELOK BLANGAH RISE,harbourfront,0.851
33 TELOK BLANGAH WAY,harbourfront,0.979
102 BT PURMEI RD,harbourfront,0.907
108 BT PURMEI RD,harbourfront,0.983
107 BT PURMEI RD,harbourfront,0.919
142 JLN BT MERAH,tiong bahru,1.014
145 JLN BT MERAH,tiong bahru,1.037
144 JLN BT MERAH,tiong bahru,1.017
54 TELOK BLANGAH DR,telok blangah,0.403
55 TELOK BLANGAH DR,telok blangah,0.449
75 TELOK BLANGAH DR,telok blangah,0.481
65 TELOK BLANGAH DR,telok blangah,0.38
62 TELOK BLANGAH HTS,telok blangah,0.526
63 TELOK BLANGAH HTS,telok blangah,0.477
40 BEO CRES,tiong bahru,0.329
22 HAVELOCK RD,tiong bahru,0.332
46 JLN BT HO SWEE,tiong bahru,0.284
32 JLN BT HO SWEE,tiong bahru,0.182
6 JLN BT HO SWEE,havelock,0.257
107 JLN BT MERAH,tiong bahru,0.758
26 JLN KLINIK,tiong bahru,0.256
20 JLN KLINIK,tiong bahru,0.285
17 REDHILL CL,redhill,0.501
22 REDHILL CL,redhill,0.361
120 BT MERAH VIEW,tiong bahru,0.652
113 BT PURMEI RD,harbourfront,1.204
114 BT PURMEI RD,harbourfront,1.181
115 BT PURMEI RD,tiong bahru,1.197
108 JLN BT MERAH,tiong bahru,0.797
13 JLN BT MERAH,queenstown,0.771
50 TELOK BLANGAH DR,telok blangah,0.268
51 TELOK BLANGAH DR,telok blangah,0.31
57 TELOK BLANGAH HTS,telok blangah,0.538
102 HENDERSON CRES,redhill,0.544
116 BT MERAH CTRL,redhill,0.666
1 DELTA AVE,great world,0.608
2 DELTA AVE,tiong bahru,0.63
1 EVERTON PK,outram park,0.453
140 JLN BT MERAH,tiong bahru,0.913
7 KIM TIAN PL,tiong bahru,0.294
113 DEPOT RD,labrador park,1.143
109 SPOTTISWOODE PK RD,outram park,0.865
52 TELOK BLANGAH DR,telok blangah,0.387
67 TELOK BLANGAH DR,telok blangah,0.437
73 TELOK BLANGAH HTS,telok blangah,0.563
72 TELOK BLANGAH HTS,telok blangah,0.602
108 GANGSA RD,petir,0.068
115 PENDING RD,petir,0.286
125 PENDING RD,pending,0.146
223 PENDING RD,pending,0.265
230 PENDING RD,pending,0.105
142 PETIR RD,petir,0.208
143 PETIR RD,petir,0.173
251 BANGKIT RD,bangkit,0.173
253 BANGKIT RD,bangkit,0.246
276 BANGKIT RD,pending,0.494
234 BT PANJANG RING RD,bangkit,0.191
417 FAJAR RD,fajar,0.318
436 FAJAR RD,fajar,0.279
104 GANGSA RD,petir,0.187
146 GANGSA RD,petir,0.255
123 PENDING RD,pending,0.173
113 PENDING RD,petir,0.309
116 PENDING RD,petir,0.229
232 PENDING RD,pending,0.132
206 PETIR RD,pending,0.415
275 BANGKIT RD,pending,0.404
255 BANGKIT RD,bangkit,0.066
236 BT PANJANG RING RD,bangkit,0.194
403 FAJAR RD,petir,0.393
207 PETIR RD,pending,0.482
208 PETIR RD,pending,0.482
416 SAUJANA RD,fajar,0.311
246 BANGKIT RD,bangkit,0.164
243 BT PANJANG RING RD,bangkit,0.161
418 FAJAR RD,fajar,0.226
111 GANGSA RD,petir,0.196
129 PENDING RD,pending,0.114
233 PENDING RD,pending,0.064
8 EMPRESS RD,farrer road,0.25
4 QUEEN'S RD,farrer road,0.173
5 TOH YI DR,beauty world,0.365
7 TOH YI DR,beauty world,0.436
10 TOH YI DR,beauty world,0.503
8 JLN KUKOH,chinatown,0.559
28 KELANTAN RD,jalan besar,0.253
30 KELANTAN RD,jalan besar,0.179
4 SAGO LANE,maxwell,0.178
5 TG PAGAR PLAZA,tanjong pagar,0.304
668 CHANDER RD,little india,0.221
640 ROWELL RD,jalan besar,0.26
634 VEERASAMY RD,jalan besar,0.101
269A QUEEN ST,bugis,0.209
334 KRETA AYER RD,maxwell,0.209
637 VEERASAMY RD,jalan besar,0.208
6 TECK WHYE AVE,teck whye,0.545
1 TECK WHYE AVE,keat hong,0.528
115 TECK WHYE LANE,keat hong,0.239
16 TECK WHYE LANE,teck whye,0.222
202 CHOA CHU KANG AVE 1,keat hong,0.362
276 CHOA CHU KANG AVE 2,south view,0.134
288 CHOA CHU KANG AVE 3,south view,0.498
286 CHOA CHU KANG AVE 3,south view,0.424
410 CHOA CHU KANG AVE 3,south view,0.421
412 CHOA CHU KANG AVE 3,south view,0.365
401 CHOA CHU KANG AVE 3,south view,0.619
406 CHOA CHU KANG AVE 3,south view,0.565
407 CHOA CHU KANG AVE 3,south view,0.496
423 CHOA CHU KANG AVE 4,choa chu kang,0.584
427 CHOA CHU KANG AVE 4,south view,0.618
439 CHOA CHU KANG AVE 4,choa chu kang,0.541
440 CHOA CHU KANG AVE 4,choa chu kang,0.595
430 CHOA CHU KANG AVE 4,choa chu kang,0.398
433 CHOA CHU KANG AVE 4,choa chu kang,0.307
434 CHOA CHU KANG AVE 4,choa chu kang,0.379
435 CHOA CHU KANG AVE 4,choa chu kang,0.37
212 CHOA CHU KANG CTRL,south view,0.332
205 CHOA CHU KANG CTRL,keat hong,0.264
206 CHOA CHU KANG CTRL,keat hong,0.243
234 CHOA CHU KANG CTRL,keat hong,0.205
236 CHOA CHU KANG CTRL,keat hong,0.164
215 CHOA CHU KANG CTRL,south view,0.368
216 CHOA CHU KANG CTRL,south view,0.368
217 CHOA CHU KANG CTRL,choa chu kang,0.334
220 CHOA CHU KANG CTRL,south view,0.184
352 CHOA CHU KANG CTRL,choa chu kang,0.311
354 CHOA CHU KANG CTRL,choa chu kang,0.315
355 CHOA CHU KANG CTRL,choa chu kang,0.258
618 CHOA CHU KANG NTH 7,yew tee,0.316
504 CHOA CHU KANG ST 51,choa chu kang,0.463
514 CHOA CHU KANG ST 51,choa chu kang,0.568
516 CHOA CHU KANG ST 51,choa chu kang,0.628
517 CHOA CHU KANG ST 51,choa chu kang,0.655
548 CHOA CHU KANG ST 52,yew tee,0.763
562 CHOA CHU KANG ST 52,yew tee,0.206
566 CHOA CHU KANG ST 52,yew tee,0.372
703 CHOA CHU KANG ST 53,choa chu kang,0.684
708 CHOA CHU KANG ST 53,yew tee,0.657
607 CHOA CHU KANG ST 62,yew tee,0.394
611 CHOA CHU KANG ST 62,yew tee,0.464
612 CHOA CHU KANG ST 62,yew tee,0.437
613 CHOA CHU KANG ST 62,yew tee,0.48
615 CHOA CHU KANG ST 62,yew tee,0.467
616 CHOA CHU KANG ST 62,yew tee,0.377
620 CHOA CHU KANG ST 62,yew tee,0.254
621 CHOA CHU KANG ST 62,yew tee,0.181
5 TECK WHYE AVE,teck whye,0.604
2 TECK WHYE AVE,keat hong,0.487
105 TECK WHYE LANE,teck whye,0.134
118 TECK WHYE LANE,keat hong,0.226
112 TECK WHYE LANE,teck whye,0.218
15 TECK WHYE LANE,teck whye,0.295
25 TECK WHYE LANE,teck whye,0.219
20 TECK WHYE LANE,teck whye,0.238
